Solar,Wind,Nuclear,Gas,Coal,Storage
1.842292954,1.173424104,1.331187173,1.145180034,0.799486928,1
1.525609973,1.169062575,1.282400408,1.144619858,0.717462532,1.000000931
1.39537858,1.16542986,1.249793572,1.144179212,0.551665269,1.055711535
1.324847532,1.162386455,1.226570203,1.143838408,0.167622842,1.00141808
1.280843387,1.159823031,1.209279012,1.021336117,0,1
1.241160132,1.151830531,1.188527837,1,4.84412E-05,1.005598643
1.212187508,1.144302161,1.171628245,1,4.18546E-05,1
1.191162015,1.138085211,1.158520625,1,4.06919E-05,1
1.000000027,1.132890724,1.14808988,1,0,1
1.000000007,1.126426271,1.094821334,1,0,1.002441415
0.999999999,1.1201463,1.10113128,1.010242585,0.000156222,1.000000015
1.000000022,1.115202689,1.022612171,1.069626713,0.000162727,1.000008561
